english,telugu
Tom tried to hide his confusion.,టామ్ తన గందరగోళాన్ని దాచడానికి ప్రయత్నించాడు.
slowly,నెమ్మదిగా
Tom thinks that he's always right.,టామ్ అతను ఎప్పుడూ సరైనవాడు అని అనుకుంటాడు.
Don't panic!,భయపడవద్దు!
The cat is in the box.,పిల్లి పెట్టెలో ఉంది.
He is capable of teaching French.,అతను ఫ్రెంచ్ బోధించే సామర్థ్యం కలిగి ఉంటాడు.
I heard about what happened.,నేను ఏమి జరిగిందో విన్నాను.
That I can't tell you.,నేను మీకు చెప్పలేను.
Tom handed Mary a check for half a million dollars.,టామ్ మేరీకి అర మిలియన్ డాలర్ల చెక్కును ఇచ్చాడు.
Please lock the door.,దయచేసి తలుపు లాక్ చేయండి.
Thank you very much for the useful advice.,ఉపయోగకరమైన సలహా కోసం చాలా ధన్యవాదాలు.
We've hired a new coach.,మేము కొత్త కోచ్‌ను నియమించాము.
I'm sure it'll pass.,అది పాస్ అవుతుందని నేను ఖచ్చితంగా అనుకుంటున్నాను.
I think I can come over this afternoon.,నేను ఈ మధ్యాహ్నం రావచ్చని అనుకుంటున్నాను.
I don't think that we'll ever know what happened to Tom.,టామ్కు ఏమి జరిగిందో మనకు ఎప్పటికి తెలుస్తుందని నేను అనుకోను.
I wonder if Tom has ever been to Boston.,టామ్ ఎప్పుడైనా బోస్టన్‌కు వెళ్ళాడా అని నేను ఆశ్చర్యపోతున్నాను.
We have to get out of here fast.,మేము వేగంగా ఇక్కడి నుండి బయటపడాలి.
Indian,భారతీయుడు
I'd like to ask you for some advice.,నేను మిమ్మల్ని కొన్ని సలహాలు అడగాలనుకుంటున్నాను.
That's a nice thought.,ఇది మంచి ఆలోచన.
I won't have time this evening.,ఈ సాయంత్రం నాకు సమయం ఉండదు.
It is my strict warning.,ఇది నా కఠినమైన హెచ్చరిక.
"If he's still alive, he'd be very old by now.","అతను ఇంకా బతికే ఉంటే, అతను ఇప్పుడు చాలా వయస్సులో ఉంటాడు."
"I will accept the work, provided that you help me.",మీరు నాకు సహాయం చేస్తే నేను పనిని అంగీకరిస్తాను.
Tom looked out the window and saw Mary.,టామ్ కిటికీలోంచి చూస్తూ మేరీని చూశాడు.
Do you have a birthmark?,మీకు బర్త్‌మార్క్ ఉందా?
Source,మూలం
Hindi language is known as Hindustan ki Bhasha.,హిందీ భాషను హిందుస్థాన్ కి భాష అంటారు.
Tom has started writing a novel.,టామ్ ఒక నవల రాయడం ప్రారంభించాడు.
Never hesitate to tell the truth.,నిజం చెప్పడానికి ఎప్పుడూ వెనుకాడరు.
Are you staying for dinner?,మీరు విందు కోసం ఉంటున్నారా?
I'm not telling you his name.,నేను అతని పేరు మీకు చెప్పడం లేదు.
I'd have told you that.,నేను మీకు చెప్పాను.
The milk tastes sour.,పాలు పుల్లని రుచి చూస్తాయి.
"You can pretend to be serious, but you can't pretend to be funny.","మీరు గంభీరంగా ఉన్నట్లు నటించవచ్చు, కానీ మీరు ఫన్నీగా నటించలేరు."
That's a stupid rule.,అది తెలివితక్కువ నియమం.
Tom is old enough to drive.,టామ్ డ్రైవ్ చేసేంత వయస్సు.
Tom told me that he'd be home on Monday.,టామ్ సోమవారం ఇంటికి వస్తానని చెప్పాడు.
Tom wants to play tennis with Mary.,టామ్ మేరీతో టెన్నిస్ ఆడాలనుకుంటున్నాడు.
I wasn't looking at you.,నేను మీ వైపు చూడటం లేదు.
He is now almost as tall as his father is.,అతను ఇప్పుడు తన తండ్రి ఉన్నంత ఎత్తులో ఉన్నాడు.
Did you forget to feed the dog?,మీరు కుక్కకు ఆహారం ఇవ్వడం మర్చిపోయారా?
Tom has written a book about birds.,టామ్ పక్షుల గురించి ఒక పుస్తకం రాశాడు.
i am going to sleep,నేను నిద్రించటానికి వెళుతున్నాను
Tom didn't even know who Mary was.,టామ్ మేరీ ఎవరో కూడా తెలియదు.
